# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"gene","count"
Cas6_0_I-E_3,2180
Cas6_0_I-E_4,344
Cas6_0_I-E_5,227
Cas6_0_I-E_6,2800
Cas6_0_I-E_7,61
Cas6_0_I-E_8,7
Cas6_0_I-E_9,1
Cas6_0_I-F_1,637
Cas6_0_I-F_2,37
Cas6_0_I-F_3,133
Cas6_0_I-F_4,114
Cas6_0_I-F_5,30
Cas6_0_I-F_6,485
Cas6_0_I-F_7,5
Cas6_0_I-III_1,741
Cas6_0_I-III_10,11
Cas6_0_I-III_11,14
Cas6_0_I-III_12,8
Cas6_0_I-III_13,4
Cas6_0_I-III_15,3
Cas6_0_I-III_16,1
Cas6_0_I-III_2,45
Cas6_0_I-III_3,136
Cas6_0_I-III_4,356
Cas6_0_I-III_5,133
Cas6_0_I-III_6,124
Cas6_0_I-III_7,283
Cas6_0_I-III_8,301
Cas6_0_I-III_9,525
Cas7_0_I_1,7
Cas7_0_I_2,21
Cas7_0_I_3,32
Cas7_0_I_4,50
Cas7_0_I_5,4
Cas7_0_I_6,9
Cas7_0_I_7,3
Cas7_0_I-A_1,5
Cas7_0_I-A_10,3
Cas7_0_I-A_2,24
Cas7_0_I-A_3,18
Cas7_0_I-A_4,17
Cas7_0_I-A_5,24
Cas7_0_I-A_6,34
Cas7_0_I-A_7,10
Cas7_0_I-A_8,6
Cas7_0_I-C_1,47
Cas7_0_I-C_11,1
Cas7_0_I-C_12,1
Cas7_0_I-C_2,44
Cas7_0_I-C_3,134
Cas7_0_I-C_4,1328
Cas7_0_I-C_5,77
Cas7_0_I-C_6,4
Cas7_0_I-C_7,40
Cas7_0_I-C_8,1
Cas7_0_I-E_1,11
Cas7_0_I-E_10,1
Cas7_0_I-E_11,1
Cas7_0_I-E_2,93
Cas7_0_I-E_3,253
Cas7_0_I-E_4,3070
Cas7_0_I-E_5,2363
Cas7_0_I-E_6,77
Cas7_0_I-E_7,2
Cas7_0_I-E_9,1
Cas7_1_I-B_1,26
Cas7_1_I-B_11,1
Cas7_1_I-B_14,1
Cas7_1_I-B_2,146
Cas7_1_I-B_3,262
Cas7_1_I-B_4,34
Cas7_1_I-B_5,9
Cas7_1_I-B_6,255
Cas7_1_I-B_7,14
Cas7_1_I-B_8,1
Cas7_1_I-C_1,1
Cas7_1_I-C_4,12
Cas7_1_I-C_5,8
Cas7_2_I-B_1,6
Cas7_2_I-B_2,78
Cas7_2_I-B_3,91
Cas7_2_I-B_4,24
Cas7_2_I-B_5,9
Cas7_2_I-B_6,118
Cas7_2_I-B_7,9
Cas7_3_I-B_1,6
Cas7_3_I-B_2,87
Cas7_3_I-B_3,24
Cas7_3_I-B_4,6
Cas7_3_I-B_5,3
Cas7_3_I-B_6,81
Cas7_3_I-B_7,6
Cas8a1_0_I-A_1,1
Cas8a1_0_I-A_3,4
Cas8a1_0_I-A_5,1
Cas8a1_0_I-B_1,10
Cas8a1_0_I-B_12,1
Cas8a1_0_I-B_15,1
Cas8a1_0_I-B_2,133
Cas8a1_0_I-B_3,13
Cas8a1_0_I-B_4,12
Cas8a1_0_I-B_5,17
Cas8a1_0_I-B_6,5
Cas8a1_0_I-B_7,142
Cas8a1_0_I-B_8,10
Cas8a1_0_I-B_9,1
Cas8a1_1_I-A_1,1
Cas8a1_1_I-A_2,12
Cas8a1_1_I-A_3,61
Cas8a1_1_I-A_4,2
Cas8a1_1_I-A_5,41
Cas8a1_1_I-A_6,1
Cas8a1_1_I-B_1,45
Cas8a1_1_I-B_2,28
Cas8a1_1_I-B_3,12
Cas8a1_1_I-B_4,33
Cas8a1_1_I-B_5,17
Cas8a1_1_I-B_6,1
Cas8a1_1_I-B_7,54
Cas8a1_1_I-B_8,7
Cas8a1_2_I-B_2,13
Cas8a1_2_I-B_4,2
Cas8a1_2_I-B_5,10
Cas8a1_2_I-B_7,15
Cas8b_0_I-B_1,6
Cas8b_0_I-B_2,46
Cas8b_0_I-B_3,3
Cas8b_0_I-B_4,4
Cas8b_0_I-B_5,3
Cas8b_0_I-B_6,4
Cas8b_0_I-B_7,31
Cas8b_0_I-B_8,3
Cas8c_0_I-C_1,7
Cas8c_0_I-C_10,1
Cas8c_0_I-C_2,93
Cas8c_0_I-C_3,681
Cas8c_0_I-C_4,105
Cas8c_0_I-C_5,671
Cas8c_0_I-C_6,49
Cas8c_0_I-C_7,1
Cas8c_0_I-C_8,1
Cas8c_1_I-C_3,12
Cas8c_1_I-C_6,8
Cas9_0_CAS-II-B_1,16
Cas9_0_CAS-II-B_3,1
Cas9_0_CAS-II-B_4,17
Cas9_0_II_1,504
Cas9_0_II_2,15
Cas9_0_II_3,176
Cas9_0_II_4,314
Cas9_0_II_5,2
Cas9_0_II-B_1,27
Cas9_0_II-B_2,2
Cas9_0_II-B_3,2
Cas9_0_II-B_4,13
Cas9_1_II_1,548
Cas9_1_II_2,66
Cas9_1_II_3,294
Cas9_1_II_4,329
Cas9_1_II_6,1
Cas9_1_II_8,2
Cas9_1_II-B_1,1
Cas9_1_II-B_4,1
Cas9_2_II_1,337
Cas9_2_II_2,26
Cas9_2_II_3,264
Cas9_2_II_4,1
Cmr1_0_III-B_1,43
Cmr1_0_III-B_10,1
Cmr1_0_III-B_2,5
Cmr1_0_III-B_3,8
Cmr1_0_III-B_4,8
Cmr1_0_III-B_5,6
Cmr1_0_III-B_6,38
Cmr1_0_III-B_7,5
Cmr1_0_III-B_8,5
Cmr1_0_III-B_9,2
Cmr1_0_III-C_1,2
Cmr1_0_III-C_2,1
Cmr1_0_III-C_4,1
Cmr1_0_III-C_5,2
Cmr1_0_III-C_6,10
Cmr1_0_III-C_9,1
Cmr3_0_III-B_1,24
Cmr3_0_III-B_12,1
Cmr3_0_III-B_2,10
Cmr3_0_III-B_3,34
Cmr3_0_III-B_4,25
Cmr3_0_III-B_5,21
Cmr3_0_III-B_6,12
Cmr3_0_III-B_7,11
Cmr3_0_III-B_8,1
Cmr3_0_III-B_9,2
Cmr3_0_III-C_1,34
Cmr3_0_III-C_2,4
Cmr3_0_III-C_3,5
Cmr3_0_III-C_4,2
Cmr3_0_III-C_5,9
Cmr3_0_III-C_6,20
Cmr3_0_III-C_7,1
Cmr3_0_III-C_8,1
Cmr3_0_III-C_9,3
Cmr3_1_III-B_1,7
Cmr3_1_III-B_10,2
Cmr3_1_III-B_11,1
Cmr3_1_III-B_2,77
Cmr3_1_III-B_3,107
Cmr3_1_III-B_4,139
Cmr3_1_III-B_5,26
Cmr3_1_III-B_6,32
Cmr3_1_III-B_7,13
Cmr3_1_III-B_8,5
Cmr4_0_III-B_1,22
Cmr4_0_III-B_10,3
Cmr4_0_III-B_11,1
Cmr4_0_III-B_12,1
Cmr4_0_III-B_2,68
Cmr4_0_III-B_3,226
Cmr4_0_III-B_4,152
Cmr4_0_III-B_5,52
Cmr4_0_III-B_6,33
Cmr4_0_III-B_7,17
Cmr4_0_III-B_8,4
Cmr4_0_III-B_9,3
Cmr4_1_III-B_1,8
Cmr4_1_III-B_2,3
Cmr4_1_III-B_3,16
Cmr4_1_III-B_4,20
Cmr4_1_III-B_5,14
